"year"	"mfr"	"nameplate"	"hp"	"torque"	"mpg"	"fuel"	"curbwt"	"d_truck"	"d_super"	"d_turbo"	"d_diesel"	"d_manual"	"outlier"	"accel"	"lmpg"	"lcurbwt"	"lhp"	"ltorque"	"lhp2"	"lcurbwt2"	"ltorque2"	"lcurbwt_lhp"	"lcurbwt_ltorque"	"lhp_ltorque"	"base"	"rgasp"	"cafe_car"	"cafe_tr"	"time_d_manual"
"60"	1987	"TOYOTA"	"COROLLA"	74	116.599998474121	38.2999992370605	"G"	2163	0	0	0	0	1	0	13.2263708114624	3.64544987678528	7.67925119400024	4.30406522750854	4.75874948501587	18.5249767303467	58.9708976745605	22.6456966400146	33.0519981384277	36.5436325073242	20.4819679260254	1	0	0	0	8
"61"	1988	"TOYOTA"	"COROLLA"	90	129.199996948242	37.2999992370605	"G"	2207	0	0	0	0	1	0	11.5434427261353	3.61899328231812	7.69938945770264	4.49980974197388	4.86136150360107	20.2482872009277	59.2805976867676	23.6328353881836	34.6457862854004	37.429515838623	21.8752021789551	1	0	0	0	9
"62"	1989	"TOYOTA"	"COROLLA"	90	129.199996948242	37.2999992370605	"G"	2207	0	0	0	0	1	0	11.5434427261353	3.61899328231812	7.69938945770264	4.49980974197388	4.86136150360107	20.2482872009277	59.2805976867676	23.6328353881836	34.6457862854004	37.429515838623	21.8752021789551	1	0	0	0	10
"63"	1990	"TOYOTA"	"COROLLA"	102	135.300003051758	34.7999992370605	"G"	2394	0	0	0	0	1	0	11.157901763916	3.54961729049683	7.78072071075439	4.62497282028198	4.90749454498291	21.3903732299805	60.5396156311035	24.0835018157959	35.9856224060059	38.1838455200195	22.6970291137695	1	0	0	0	11
"64"	1991	"TOYOTA"	"COROLLA"	102	136.899993896484	35.4000015258789	"G"	2282	0	0	0	0	1	0	10.7511758804321	3.56671190261841	7.73280763626099	4.62497282028198	4.91925048828125	21.3903732299805	59.796314239502	24.1990261077881	35.7640266418457	38.0396194458008	22.7513999938965	1	0	0	0	12
"65"	1992	"TOYOTA"	"COROLLA"	130	142.399993896484	35.0999984741211	"G"	2253	0	0	0	0	1	0	8.8208475112915	3.55820107460022	7.72001791000366	4.86753463745117	4.95864009857178	23.6928939819336	59.5986747741699	24.5881118774414	37.5774536132812	38.2807922363281	24.1363525390625	1	0	0	0	13
"66"	1993	"TOYOTA"	"COROLLA"	115	155.899993896484	35	"G"	2450	0	0	0	0	1	0	10.351167678833	3.55534815788269	7.80384349822998	4.74493217468262	5.0492148399353	22.5143814086914	60.899974822998	25.4945697784424	37.0287094116211	39.4032821655273	23.9581813812256	1	0	0	0	14
"67"	1994	"TOYOTA"	"COROLLA"	115	155.899993896484	35.0999984741211	"G"	2450	0	0	0	0	1	0	10.351167678833	3.55820107460022	7.80384349822998	4.74493217468262	5.0492148399353	22.5143814086914	60.899974822998	25.4945697784424	37.0287094116211	39.4032821655273	23.9581813812256	1	0	0	0	15
"68"	1995	"TOYOTA"	"COROLLA"	105	158.699996948242	36	"G"	2450	0	0	0	0	1	0	11.1072988510132	3.58351898193359	7.80384349822998	4.65396022796631	5.06701564788818	21.6593456268311	60.899974822998	25.6746482849121	36.3187789916992	39.5421981811523	23.5816898345947	1	0	0	0	16
"69"	1996	"TOYOTA"	"COROLLA"	100	142.399993896484	38	"G"	2315	0	0	0	0	1	0	11.0396041870117	3.63758611679077	7.74716520309448	4.60517024993896	4.95864009857178	21.2075939178467	60.0185699462891	24.5881118774414	35.6770133972168	38.4154052734375	22.8353824615479	1	0	0	0	17
"70"	1997	"TOYOTA"	"COROLLA"	100	142	38	"G"	2450	0	0	0	0	1	0	11.5353345870972	3.63758611679077	7.80384349822998	4.60517024993896	4.95582723617554	21.2075939178467	60.899974822998	24.5602245330811	35.9380264282227	38.6744995117188	22.8224277496338	1	0	0	0	18
"71"	1998	"TOYOTA"	"COROLLA"	120	166	39.4000015258789	"G"	2450	0	0	0	0	1	0	10.0153179168701	3.67376589775085	7.80384349822998	4.78749179840088	5.11198759078979	22.9200782775879	60.899974822998	26.132417678833	37.3608360290527	39.8931503295898	24.4735984802246	1	0	0	0	19
"72"	1999	"TOYOTA"	"COROLLA"	120	166	39.7000007629395	"G"	2414	0	0	0	0	1	0	9.9010763168335	3.68135118484497	7.78904056549072	4.78749179840088	5.11198759078979	22.9200782775879	60.6691513061523	26.132417678833	37.289966583252	39.8174781799316	24.4735984802246	1	0	0	0	20
"73"	2000	"TOYOTA"	"COROLLA"	125	170	39.5999984741211	"G"	2450	0	0	0	0	1	0	9.7034215927124	3.67882919311523	7.80384349822998	4.82831382751465	5.13579845428467	23.312614440918	60.899974822998	26.3764266967773	37.6794052124023	40.0789680480957	24.7972469329834	1	0	0	0	21
"74"	2001	"TOYOTA"	"COROLLA"	125	170	41.7000007629395	"G"	2410	0	0	0	0	1	0	9.58041667938232	3.73050117492676	7.78738212585449	4.82831382751465	5.13579845428467	23.312614440918	60.6433219909668	26.3764266967773	37.599925994873	39.9944267272949	24.7972469329834	1	0	0	0	22
"75"	2002	"TOYOTA"	"COROLLA"	125	170	41.7000007629395	"G"	2410	0	0	0	0	1	0	9.58041667938232	3.73050117492676	7.78738212585449	4.82831382751465	5.13579845428467	23.312614440918	60.6433219909668	26.3764266967773	37.599925994873	39.9944267272949	24.7972469329834	1	0	0	0	23
"76"	2003	"TOYOTA"	"COROLLA"	125	170	41.7000007629395	"G"	2410	0	0	0	0	1	0	9.58041667938232	3.73050117492676	7.78738212585449	4.82831382751465	5.13579845428467	23.312614440918	60.6433219909668	26.3764266967773	37.599925994873	39.9944267272949	24.7972469329834	1	0	0	0	24
"77"	2004	"TOYOTA"	"COROLLA"	130	170	41.5999984741211	"G"	2410	0	0	0	0	1	0	9.29359149932861	3.72810006141663	7.78738212585449	4.86753463745117	5.13579845428467	23.6928939819336	60.6433219909668	26.3764266967773	37.9053535461426	39.9944267272949	24.9986763000488	1	0	0	0	25
"78"	2005	"TOYOTA"	"COROLLA"	130	170	41.7999992370605	"G"	2410	0	0	0	0	1	0	9.29359149932861	3.73289632797241	7.78738212585449	4.86753463745117	5.13579845428467	23.6928939819336	60.6433219909668	26.3764266967773	37.9053535461426	39.9944267272949	24.9986763000488	1	0	0	0	26
"79"	2006	"TOYOTA"	"COROLLA"	126	165	41.7999992370605	"G"	2575	0	0	0	0	1	0	10.0228595733643	3.73289632797241	7.85360479354858	4.83628177642822	5.1059455871582	23.3896217346191	61.6791076660156	26.0706806182861	37.9822463989258	40.1000785827637	24.6937923431396	1	0	0	0	27
"80"	1981	"GMC"	"CORVETTE"	190	379.700012207031	17.3999996185303	"G"	3543	0	0	0	0	0	0	9.40182113647461	2.85647010803223	8.1727294921875	5.24702405929565	5.93938159942627	27.5312614440918	66.7935104370117	35.276252746582	42.8825073242188	48.540958404541	31.1640777587891	1	0	0	0	0
"81"	1982	"GMC"	"CORVETTE"	200	386.5	18.5	"G"	3503	0	0	0	0	0	0	8.93943405151367	2.91777062416077	8.16137504577637	5.29831743240356	5.95713186264038	28.0721683502197	66.608039855957	35.487419128418	43.2415542602539	48.6183891296387	31.5627746582031	1	0	0	0	0
"82"	1984	"GMC"	"CORVETTE"	205	393.200012207031	20	"G"	3232	0	0	0	0	0	0	8.21348476409912	2.99573230743408	8.08085632324219	5.32300996780396	5.9743185043335	28.3344345092773	65.3002395629883	35.6924819946289	43.0144805908203	48.2776107788086	31.8013572692871	1	0	0	0	0
"83"	1985	"GMC"	"CORVETTE"	230	447.5	21.3999996185303	"G"	3192	0	0	0	0	0	0	7.4121561050415	3.0633909702301	8.06840324401855	5.43807935714722	6.10367631912231	29.5727062225342	65.0991287231445	37.2548637390137	43.8766174316406	49.2469215393066	33.1922760009766	1	0	0	0	0
"84"	1986	"GMC"	"CORVETTE"	230	447.5	22.7999992370605	"G"	3230	0	0	0	0	0	0	7.48310708999634	3.12676048278809	8.08023738861084	5.43807935714722	6.10367631912231	29.5727062225342	65.2902374267578	37.2548637390137	43.9409713745117	49.3191528320312	33.1922760009766	1	0	0	0	0
